playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
masonro01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0,11,1,0,0,0,0
merckke01,1992,NLCS,ATL,NL,0,0,2,0,0,0,0,9,1,0,0,1,1,0.1,0,0,0,0,0,11,1,0,0,0,0
mooremi01,1992,ALCS,OAK,AL,0,2,2,2,0,0,0,29,11,8,3,5,7,0.282,7.45,1,0,0,0,45,0,9,0,1,0
morrija02,1992,ALCS,TOR,AL,0,1,2,2,1,0,0,37,11,9,3,9,6,0.25,6.57,1,1,0,0,55,0,9,1,1,4
morrija02,1992,WS,TOR,AL,0,2,2,2,0,0,0,32,13,10,3,6,12,0.295,8.44,1,1,0,0,50,0,10,0,0,0
neaglde01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,5,4,5,0,3,0,0.444,27,1,0,0,0,12,0,5,0,0,0
parreje01,1992,ALCS,OAK,AL,0,0,3,0,0,0,0,7,6,3,0,0,1,0.6,11.57,0,0,0,0,12,1,3,1,1,0
pattebo01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,5,3,1,0,1,1,0.375,5.4,0,0,0,0,9,0,1,0,0,0
reardje01,1992,NLCS,ATL,NL,1,0,3,0,0,0,1,9,0,0,0,2,3,0,0,0,1,0,0,11,3,0,0,0,0
reardje01,1992,WS,ATL,NL,0,1,2,0,0,0,0,4,2,2,1,1,1,0.333,13.5,0,0,0,0,7,2,2,0,0,0
russeje01,1992,ALCS,OAK,AL,1,0,3,0,0,0,0,6,2,2,0,4,0,0.222,9,0,1,0,0,13,0,2,0,0,0
smithpe02,1992,NLCS,ATL,NL,0,0,2,0,0,0,0,11,2,1,0,3,3,0.182,2.45,0,0,0,0,15,0,1,0,1,0
smithpe02,1992,WS,ATL,NL,0,0,1,0,0,0,0,9,3,0,0,0,0,0.25,0,0,0,0,0,12,0,0,0,0,0
smoltjo01,1992,NLCS,ATL,NL,2,0,3,3,0,0,0,61,14,6,1,10,19,0.194,2.66,2,1,0,0,83,0,7,0,1,1
smoltjo01,1992,WS,ATL,NL,1,0,2,2,0,0,0,40,13,4,0,7,12,0.255,2.7,0,2,0,0,58,0,5,0,0,0
stantmi02,1992,NLCS,ATL,NL,0,0,5,0,0,0,0,13,2,0,0,2,5,0.154,0,1,0,0,0,17,1,1,1,1,0
stantmi02,1992,WS,ATL,NL,0,0,4,0,0,0,1,15,3,0,0,2,1,0.188,0,2,0,0,0,19,1,0,1,0,1
stewada01,1992,ALCS,OAK,AL,1,0,2,2,1,0,0,50,14,5,3,6,7,0.233,2.7,0,0,0,0,66,0,5,0,0,2
stottto01,1992,ALCS,TOR,AL,0,0,1,0,0,0,0,11,3,1,0,0,1,0.214,2.45,0,0,0,0,14,0,1,0,0,0
stottto01,1992,WS,TOR,AL,0,0,4,0,0,0,0,11,4,0,0,0,4,0.286,0,0,0,0,0,14,1,0,0,0,0
timlimi01,1992,ALCS,TOR,AL,0,0,2,0,0,0,0,4,4,1,0,0,1,0.5,6.75,0,0,0,0,8,0,1,0,0,0
timlimi01,1992,WS,TOR,AL,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
tomlira01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,8,5,2,0,1,0,0.417,6.75,0,0,0,0,13,0,2,0,0,1
wakefti01,1992,NLCS,PIT,NL,2,0,2,2,2,0,0,54,14,6,4,5,7,0.206,3,0,1,0,0,73,0,6,0,0,2
walkbo01,1992,NLCS,PIT,NL,1,0,2,1,1,0,0,35,6,5,1,7,6,0.146,3.86,1,0,0,0,48,0,5,0,0,0
warddu01,1992,ALCS,TOR,AL,1,0,3,0,0,0,0,12,6,3,0,1,2,0.375,6.75,0,0,0,0,19,0,3,1,1,0
