year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
1998,AL,OAK,OAK01,01/04/98,27/09/98,81,79,1232363
1998,NL,PHI,PHI12,07/04/98,20/09/98,81,79,1715702
1998,NL,PIT,PIT07,07/04/98,20/09/98,81,80,1560950
1998,NL,SDN,SAN01,07/04/98,20/09/98,81,79,2555964
1998,AL,SEA,SEA02,31/03/98,27/09/98,81,81,2651511
1998,NL,SFN,SFO02,07/04/98,24/09/98,81,80,1925634
1998,NL,SLN,STL09,31/03/98,27/09/98,82,80,3195651
1998,AL,TBA,STP01,31/03/98,20/09/98,81,81,2506023
1998,AL,TEX,ARL02,31/03/98,20/09/98,81,81,2927409
1998,AL,TOR,TOR02,01/04/98,27/09/98,81,81,2454303
1999,AL,ANA,ANA01,06/04/99,03/10/99,81,81,2253040
1999,NL,ARI,PHO01,12/04/99,03/10/99,81,81,3015948
1999,NL,ATL,ATL02,05/04/99,03/10/99,81,81,3284901
1999,AL,BAL,BAL12,05/04/99,03/10/99,81,80,3432099
1999,AL,BOS,BOS07,13/04/99,27/09/99,81,81,2446277
1999,AL,CHA,CHI12,09/04/99,03/10/99,81,76,1338851
1999,NL,CHN,CHI11,12/04/99,26/09/99,81,78,2813854
1999,NL,CIN,CIN08,05/04/99,04/10/99,82,82,2061324
1999,AL,CLE,CLE08,12/04/99,03/10/99,81,81,3468436
1999,NL,COL,DEN02,12/04/99,03/10/99,81,81,3481065
1999,AL,DET,DET04,12/04/99,27/09/99,81,81,2026491
1999,NL,FLO,MIA01,05/04/99,26/09/99,80,78,1369420
1999,NL,HOU,HOU02,06/04/99,03/10/99,82,81,2706017
1999,AL,KCA,KAN06,05/04/99,02/10/99,80,78,1501292
1999,NL,LAN,LOS03,05/04/99,26/09/99,81,81,3098990
1999,NL,MIL,MIL05,16/04/99,03/10/99,80,78,1701790
1999,AL,MIN,MIN03,06/04/99,30/09/99,81,81,1202829
1999,NL,MON,MON02,08/04/99,29/09/99,81,81,772737
1999,AL,NYA,NYC16,09/04/99,27/09/99,81,81,3293259
1999,NL,NYN,NYC17,12/04/99,03/10/99,81,79,2726008
1999,AL,OAK,OAK01,05/04/99,03/10/99,81,81,1434632
1999,NL,PHI,PHI12,12/04/99,03/10/99,81,80,1825337
1999,NL,PIT,PIT07,05/04/99,22/09/99,81,80,1638023
1999,NL,SDN,MNT01,04/04/99,04/04/99,1,1,27104
1999,NL,SDN,SAN01,06/04/99,22/09/99,80,80,2496434
1999,AL,SEA,SEA02,05/04/99,27/06/99,39,39,1099404
1999,AL,SEA,SEA03,15/07/99,26/09/99,42,42,1816504
1999,NL,SFN,SFO02,08/04/99,30/09/99,81,81,2078365
1999,NL,SLN,STL09,05/04/99,03/10/99,80,79,3235833
1999,AL,TBA,STP01,09/04/99,03/10/99,81,81,1749657
1999,AL,TEX,ARL02,05/04/99,30/09/99,81,80,2774501
1999,AL,TOR,TOR02,12/04/99,26/09/99,81,81,2163486
2000,AL,ANA,ANA01,03/04/00,01/10/00,81,81,2066982
2000,NL,ARI,PHO01,04/04/00,01/10/00,81,81,2942251
2000,NL,ATL,ATL02,03/04/00,01/10/00,81,81,3234304
2000,AL,BAL,BAL12,03/04/00,01/10/00,81,81,3297031
2000,AL,BOS,BOS07,11/04/00,24/09/00,81,81,2585895
2000,AL,CHA,CHI12,14/04/00,01/10/00,81,81,1971446
2000,NL,CHN,CHI11,10/04/00,28/09/00,80,79,2734511
2000,NL,CHN,TOK01,30/03/00,30/03/00,1,1,55000
2000,NL,CIN,CIN08,03/04/00,24/09/00,82,82,2594132
2000,AL,CLE,CLE08,14/04/00,01/10/00,81,81,3456278
2000,NL,COL,DEN02,10/04/00,28/09/00,81,81,3295129
2000,AL,DET,DET05,11/04/00,01/10/00,81,81,2533753
2000,NL,FLO,MIA01,03/04/00,01/10/00,81,80,1218326
2000,NL,HOU,HOU03,07/04/00,01/10/00,81,81,3056139
2000,AL,KCA,KAN06,07/04/00,28/09/00,81,81,1677915
2000,NL,LAN,LOS03,14/04/00,28/09/00,81,81,3011539
2000,NL,MIL,MIL05,10/04/00,28/09/00,81,79,1573621
2000,AL,MIN,MIN03,03/04/00,24/09/00,81,81,1059415
2000,NL,MON,MON02,03/04/00,25/09/00,81,81,926272
2000,AL,NYA,NYC16,12/04/00,25/09/00,80,80,3227657
2000,NL,NYN,NYC17,03/04/00,01/10/00,80,77,2765530
2000,NL,NYN,TOK01,29/03/00,29/03/00,1,1,55000
2000,AL,OAK,OAK01,03/04/00,01/10/00,81,81,1728885
2000,NL,PHI,PHI12,10/04/00,24/09/00,81,80,1612769
2000,NL,PIT,PIT07,04/04/00,01/10/00,81,79,1748908
2000,NL,SDN,SAN01,10/04/00,01/10/00,81,81,2423142
2000,AL,SEA,SEA03,04/04/00,28/09/00,81,81,3148317
2000,NL,SFN,SFO03,11/04/00,24/09/00,81,81,3315330
2000,NL,SLN,STL09,03/04/00,01/10/00,81,81,3336493
2000,AL,TBA,STP01,07/04/00,01/10/00,80,80,1549592
2000,AL,TEX,ARL02,03/04/00,24/09/00,81,80,2800075
2000,AL,TOR,TOR02,03/04/00,25/09/00,81,81,1819919
2001,AL,ANA,ANA01,10/04/01,07/10/01,81,81,1998319
2001,NL,ARI,PHO01,06/04/01,04/10/01,81,81,2735821
2001,NL,ATL,ATL02,03/04/01,07/10/01,81,81,2823494
2001,AL,BAL,BAL12,02/04/01,06/10/01,80,80,3094841
2001,AL,BOS,BOS07,06/04/01,27/09/01,81,81,2625333
2001,AL,CHA,CHI12,06/04/01,27/09/01,81,80,1766172
2001,NL,CHN,CHI11,02/04/01,07/10/01,81,79,2779465
2001,NL,CIN,CIN08,02/04/01,07/10/01,81,79,1879757
2001,AL,CLE,CLE08,02/04/01,30/09/01,80,80,3182523
2001,NL,COL,DEN02,02/04/01,30/09/01,81,81,3168579
2001,AL,DET,DET05,03/04/01,07/10/01,81,80,1920995
2001,NL,FLO,MIA01,02/04/01,04/10/01,80,80,1261216
2001,NL,HOU,HOU03,03/04/01,04/10/01,81,81,2906277
2001,AL,KCA,KAN06,06/04/01,04/10/01,81,81,1536101
2001,NL,LAN,LOS03,02/04/01,26/09/01,81,81,3017143
2001,NL,MIL,MIL06,06/04/01,07/10/01,81,81,2811040
2001,AL,MIN,MIN03,09/04/01,07/10/01,81,80,1782926
2001,NL,MON,MON02,06/04/01,27/09/01,81,81,642743
2001,AL,NYA,NYC16,02/04/01,03/10/01,80,80,3264847
2001,NL,NYN,NYC17,09/04/01,07/10/01,81,81,2658330
2001,AL,OAK,OAK01,06/04/01,03/10/01,81,81,2133477
2001,NL,PHI,PHI12,06/04/01,27/09/01,81,78,1792054
2001,NL,PIT,PIT08,09/04/01,26/09/01,81,79,2435868
2001,NL,SDN,SAN01,10/04/01,07/10/01,81,80,2378148
2001,AL,SEA,SEA03,02/04/01,07/10/01,81,81,3512326
2001,NL,SFN,SFO03,02/04/01,07/10/01,81,81,3311000
2001,NL,SLN,STL09,09/04/01,07/10/01,82,81,3109578
2001,AL,TBA,STP01,03/04/01,07/10/01,81,81,1298075
2001,AL,TEX,ARL02,03/04/01,26/09/01,82,81,2831111
2001,AL,TOR,SJU01,01/04/01,01/04/01,1,1,19891
2001,AL,TOR,TOR02,09/04/01,07/10/01,81,80,1895236
2002,AL,ANA,ANA01,31/03/02,29/09/02,81,81,2305467
2002,NL,ARI,PHO01,01/04/02,29/09/02,81,81,3198975
2002,NL,ATL,ATL02,01/04/02,22/09/02,81,81,2603484
2002,AL,BAL,BAL12,01/04/02,29/09/02,81,81,2681439
2002,AL,BOS,BOS07,01/04/02,29/09/02,81,81,2650859
2002,AL,CHA,CHI12,12/04/02,26/09/02,81,81,1675591
2002,NL,CHN,CHI11,05/04/02,29/09/02,81,78,2694946
2002,NL,CIN,CIN08,01/04/02,22/09/02,81,80,1855775
2002,AL,CLE,CLE08,08/04/02,29/09/02,81,81,2621940
2002,NL,COL,DEN02,08/04/02,22/09/02,81,81,2740614
2002,AL,DET,DET05,05/04/02,22/09/02,80,80,1503353
2002,NL,FLO,MIA01,08/04/02,29/09/02,81,81,813127
2002,NL,HOU,HOU03,02/04/02,25/09/02,81,81,2512357
2002,AL,KCA,KAN06,01/04/02,26/09/02,81,77,1323036
2002,NL,LAN,LOS03,02/04/02,29/09/02,81,81,3131255
2002,NL,MIL,MIL06,05/04/02,22/09/02,81,81,1969153
2002,AL,MIN,MIN03,12/04/02,29/09/02,81,81,1924354
2002,NL,MON,MON02,02/04/02,29/09/02,81,81,812537
2002,AL,NYA,NYC16,05/04/02,25/09/02,80,80,3465807
2002,NL,NYN,NYC17,01/04/02,29/09/02,81,78,2804838
2002,AL,OAK,OAK01,01/04/02,22/09/02,81,81,2169816
2002,NL,PHI,PHI12,05/04/02,25/09/02,80,79,1618467
2002,NL,PIT,PIT08,08/04/02,25/09/02,80,79,1784970
2002,NL,SDN,SAN01,08/04/02,22/09/02,81,81,2221230
2002,AL,SEA,SEA03,01/04/02,26/09/02,81,81,3539938
2002,NL,SFN,SFO03,05/04/02,29/09/02,81,81,3253203
2002,NL,SLN,STL09,01/04/02,29/09/02,81,81,3011756
2002,AL,TBA,STP01,02/04/02,22/09/02,81,81,1065742
2002,AL,TEX,ARL02,05/04/02,29/09/02,81,80,2352397
2002,AL,TOR,TOR02,04/04/02,29/09/02,81,81,1638170
2003,AL,ANA,ANA01,30/03/03,28/09/03,82,81,3061094
2003,NL,ARI,PHO01,31/03/03,28/09/03,81,81,2805542
2003,NL,ATL,ATL02,31/03/03,24/09/03,81,79,2401084
2003,AL,BAL,BAL12,31/03/03,21/09/03,81,81,2454523
2003,AL,BOS,BOS07,12/04/03,25/09/03,81,81,2724165
2003,AL,CHA,CHI12,04/04/03,24/09/03,81,81,1939594
2003,NL,CHN,CHI11,08/04/03,28/09/03,81,80,2962630
2003,NL,CIN,CIN09,31/03/03,28/09/03,81,81,2355259
2003,AL,CLE,CLE08,08/04/03,21/09/03,81,81,1727001
2003,NL,COL,DEN02,04/04/03,25/09/03,81,81,2334175
